Gen,BestScore,BestWeights
1,2.22,"[177.03, 144.9780649875086, 6.86, 53.43, 22.2, -22.6]"
2,2.04,"[177.03, 140.21, 9.840772550056036, 53.43, 22.2, -18.763004256439267]"
3,2.52,"[177.03, 141.16657833795202, 6.86, 53.43, 22.2, -22.6]"
4,0.11999999999999988,"[177.64523119580602, 140.21, 9.018972742117521, 53.43, 22.2, -18.763004256439267]"
5,2.2,"[177.64523119580602, 140.21, 9.018972742117521, 53.43, 22.2, -16.573089060438527]"
6,2.3600000000000003,"[177.03, 140.21, 7.458001976644605, 52.222591837925634, 22.2, -21.777425834012035]"
7,2.4400000000000004,"[177.03, 140.21, 7.458001976644605, 52.222591837925634, 22.2, -18.89001517347355]"
8,2.2800000000000002,"[177.64523119580602, 137.55375927943575, 5.420564802237618, 53.43, 22.2, -16.36788448070459]"
9,0.06000000000000005,"[177.03, 140.21, 5.729560965472256, 52.222591837925634, 22.2, -18.89001517347355]"
10,2.2,"[177.64523119580602, 137.55375927943575, 5.420564802237618, 53.43, 22.2, -20.99920116800579]"
11,2.12,"[177.64523119580602, 137.55375927943575, 5.551977475737268, 53.43, 21.39935646704795, -16.36788448070459]"
12,2.4000000000000004,"[177.64523119580602, 137.55375927943575, 10.152204882506794, 53.43, 22.2, -20.99920116800579]"
13,2.14,"[177.64523119580602, 140.9107673789331, 5.420564802237618, 53.29492782307399, 21.39935646704795, -20.07588409530876]"
14,2.26,"[178.79194296108503, 140.9107673789331, 6.723426871745081, 53.29492782307399, 21.39935646704795, -16.36788448070459]"
15,2.38,"[176.99488164162744, 144.1816426057077, 5.420564802237618, 55.60990400561606, 21.39935646704795, -16.36788448070459]"
16,2.16,"[178.79194296108503, 140.9107673789331, 5.420564802237618, 46.035003927395394, 21.39935646704795, -15.0]"
17,2.14,"[176.99488164162744, 144.1816426057077, 5.420564802237618, 58.62820975975357, 21.39935646704795, -16.36788448070459]"
18,2.2,"[179.38544483915223, 144.1816426057077, 8.773886970261731, 55.60990400561606, 21.39935646704795, -16.36788448070459]"
19,2.3600000000000003,"[179.38544483915223, 144.1816426057077, 5.420564802237618, 53.67669244091276, 24.022603552008924, -16.36788448070459]"
