Gen,BestScore,BestWeights
1,0.26,"[177.03, 146.41, 10.78, 36.82, 12.35, -4.087151684338449]"
2,2.26,"[177.03, 146.41, 10.78, 36.82, 18.565079465080565, -20.96157716640438]"
3,0.0,"[177.03, 146.41, 10.78, 36.82, 18.565079465080565, -20.96157716640438]"
4,0.039999999999999813,"[177.03, 146.41, 17.69303562510389, 43.98911296840191, 18.565079465080565, -20.96157716640438]"
5,0.039999999999999813,"[177.03, 146.41, 17.69303562510389, 43.98911296840191, 18.565079465080565, -20.96157716640438]"
6,0.039999999999999813,"[177.03, 146.41, 17.69303562510389, 43.98911296840191, 18.565079465080565, -20.96157716640438]"
7,1.04,"[177.03, 146.4424556663711, 17.69303562510389, 43.98911296840191, 13.992819934225489, -20.96157716640438]"
8,2.5999999999999996,"[177.03, 146.4424556663711, 17.69303562510389, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
9,0.0,"[177.03, 146.4424556663711, 17.69303562510389, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
10,0.0,"[177.03, 146.4424556663711, 17.69303562510389, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
11,2.6399999999999997,"[177.03, 146.4424556663711, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
12,0.0,"[177.03, 146.4424556663711, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
13,0.0,"[177.03, 146.4424556663711, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
14,0.0,"[177.03, 146.4424556663711, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
15,0.0,"[177.03, 146.4424556663711, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
16,2.24,"[177.03, 146.4424556663711, 10.834470319920197, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
17,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
18,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
19,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
20,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
21,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
22,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
23,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
24,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
25,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
26,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
27,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
28,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
29,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
30,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
31,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
32,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
33,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
34,0.07999999999999985,"[177.03, 140.20939924620495, 16.1566199048131, 43.98911296840191, 22.196694346712725, -16.00175482484235]"
