Gen,BestScore,BestWeights
1,1.1383333333333334,"[195.0, 98.7, 17.2, 16.3, 6.4, -4.592871283612453]"
2,1.1883333333333335,"[195.0, 98.7, 17.2, 16.3, 1.0, -4.592871283612453]"
3,1.1716666666666666,"[195.0, 98.7, 17.2, 16.3, 6.4, -4.592871283612453]"
4,1.17,"[195.0, 98.7, 17.2, 16.3, 6.4, -4.592871283612453]"
5,1.1483333333333334,"[195.0, 98.7, 29.41197312462146, 16.3, 8.603813335545675, -4.592871283612453]"
6,1.1066666666666667,"[195.0, 98.7, 17.2, 16.3, 8.603813335545675, -4.592871283612453]"
7,1.1783333333333335,"[195.0, 98.7, 17.2, 30.0, 1.0, -4.592871283612453]"
8,1.1016666666666666,"[195.0, 98.7, 17.2, 16.3, 8.603813335545675, -4.592871283612453]"
9,1.1733333333333331,"[195.0, 98.7, 17.2, 10.0, 8.603813335545675, -4.592871283612453]"
10,1.1266666666666667,"[195.0, 104.93810598528057, 17.2, 16.3, 15.0, -4.592871283612453]"
11,1.1766666666666667,"[195.0, 104.93810598528057, 17.2, 16.3, 15.0, -4.592871283612453]"
12,1.1683333333333332,"[195.0, 104.93810598528057, 17.2, 16.3, 15.0, -4.592871283612453]"
13,1.1600000000000001,"[198.9582520225027, 104.93810598528057, 17.2, 16.3, 15.0, -4.592871283612453]"
14,1.1666666666666667,"[191.82643324809715, 114.58008429115041, 13.547032296750057, 16.3, 15.0, -4.592871283612453]"
15,1.195,"[191.82643324809715, 114.58008429115041, 13.547032296750057, 16.3, 15.0, -4.592871283612453]"
16,1.1766666666666665,"[195.0, 116.0155586070261, 13.547032296750057, 16.3, 15.0, -4.592871283612453]"
17,1.1783333333333335,"[195.0, 116.0155586070261, 13.547032296750057, 16.3, 15.0, -4.592871283612453]"
18,1.1883333333333332,"[195.0, 123.83674639674145, 13.547032296750057, 18.615009250009862, 15.0, -4.592871283612453]"
19,1.195,"[195.0, 123.83674639674145, 13.547032296750057, 18.615009250009862, 15.0, -4.592871283612453]"
20,1.1800000000000002,"[188.55363775124405, 111.59204778705625, 13.547032296750057, 16.3, 15.0, -10.0]"
21,1.1783333333333335,"[188.55363775124405, 111.59204778705625, 13.547032296750057, 16.3, 15.0, -10.0]"
22,1.1966666666666665,"[191.15930685661283, 111.59204778705625, 0.0, 16.3, 15.0, -2.2829499154408524]"
23,1.1800000000000002,"[191.15930685661283, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
24,1.1766666666666667,"[191.15930685661283, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
25,1.2049999999999998,"[191.15930685661283, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
26,1.195,"[191.15930685661283, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
27,1.1866666666666668,"[191.15930685661283, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
28,1.1849999999999998,"[194.90466369984696, 116.0155586070261, 13.547032296750057, 12.439494047111426, 15.0, 5.0]"
29,1.1883333333333335,"[191.15930685661283, 125.66955245581651, 13.547032296750057, 12.439494047111426, 15.0, -10.0]"
30,1.2066666666666666,"[191.15930685661283, 124.66560541646093, 13.547032296750057, 12.439494047111426, 9.6499624146635, -10.0]"
31,1.2066666666666666,"[191.15930685661283, 125.94560512158343, 13.547032296750057, 12.439494047111426, 9.6499624146635, -10.0]"
32,1.1916666666666667,"[191.15930685661283, 121.45015982040537, 13.547032296750057, 12.439494047111426, 9.1571156580876, -10.0]"
33,1.1883333333333332,"[191.15930685661283, 123.05272196643165, 13.547032296750057, 12.439494047111426, 9.6499624146635, -10.0]"
34,1.2,"[191.15930685661283, 121.45015982040537, 13.547032296750057, 12.439494047111426, 9.6499624146635, -10.0]"
35,1.18,"[191.15930685661283, 123.05272196643165, 20.748584688860944, 12.439494047111426, 9.6499624146635, -10.0]"
