Gen,BestScore,BestWeights
1,6.640000000000001,"[177.03, 140.21, 16.16, 43.99, 22.2, -26.682677684988274]"
2,2.16,"[177.03, 125.29982139590321, 16.16, 34.98074819321503, 22.2, -16.0]"
3,4.279999999999999,"[177.03, 140.21, 16.16, 43.99, 22.2, -30.0]"
4,4.12,"[177.03, 125.29982139590321, 9.734698632744923, 34.98074819321503, 22.2, -16.0]"
5,8.120000000000003,"[177.03, 140.21, 6.8590467784162925, 53.42910831744241, 22.2, -30.0]"
6,5.380000000000001,"[177.03, 129.24854082541842, 7.995720161762419, 34.98074819321503, 22.2, -16.0]"
7,5.719999999999999,"[177.03, 140.21, 6.8590467784162925, 53.42910831744241, 22.2, -22.599943098183367]"
8,0.0,"[177.03, 140.21, 6.8590467784162925, 53.42910831744241, 22.2, -22.599943098183367]"
