Gen,BestScore,BestWeights
1,0.36000000000000004,"[191.2, 126.6, 20.0, 21.4, 23.981310042491174, -10.0]"
2,0.3783333333333334,"[191.2, 126.6, 20.0, 21.4, 15.0, -4.8303904254464705]"
3,0.7266666666666669,"[191.2, 126.6, 6.13080059636183, 21.4, 15.0, -4.8303904254464705]"
4,0.7566666666666667,"[191.2, 128.40658208950066, 10.276310562806197, 33.38630327982145, 23.981310042491174, -10.0]"
5,0.7466666666666667,"[191.2, 128.40658208950066, 10.276310562806197, 33.38630327982145, 15.0, -4.8303904254464705]"
6,1.1400000000000001,"[189.31711691713792, 126.6, 6.13080059636183, 21.4, 15.0, -4.8303904254464705]"
7,1.1300000000000001,"[189.31711691713792, 126.6, 6.13080059636183, 21.4, 15.0, -4.8303904254464705]"
8,0.75,"[189.31711691713792, 126.6, 6.13080059636183, 31.688254180176212, 15.0, -4.8303904254464705]"
9,1.116666666666667,"[189.31711691713792, 126.6, 6.13080059636183, 21.4, 15.0, -4.8303904254464705]"
10,0.7466666666666667,"[189.31711691713792, 126.6, 6.13080059636183, 21.4, 15.0, -4.8303904254464705]"
11,1.09,"[189.31711691713792, 126.6, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
12,1.1066666666666667,"[189.31711691713792, 138.25768090531164, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
13,1.0866666666666667,"[174.43680484352367, 126.6, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
14,1.1333333333333335,"[174.43680484352367, 126.6, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
15,1.11,"[189.31711691713792, 138.25768090531164, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
16,0.7300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
17,1.1066666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 15.0, -4.8303904254464705]"
18,0.77,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
19,1.1333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
20,1.116666666666667,"[179.05442938131952, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
21,1.1,"[179.05442938131952, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
22,1.13,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
23,0.7466666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
24,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
25,0.7366666666666668,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
26,1.1333333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
27,0.7266666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
28,0.7300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
29,1.1033333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
30,0.7700000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
31,1.13,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
32,1.12,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
33,1.1133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
34,0.7500000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
35,1.12,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
36,1.0966666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
37,1.1166666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
38,1.0966666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
39,0.7366666666666668,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
40,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
41,1.1066666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
42,1.133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
43,0.7333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
44,1.1333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
45,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
46,1.0766666666666664,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
47,0.7366666666666668,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
48,0.7266666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
49,0.7566666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
50,1.1,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
51,1.1199999999999999,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
52,1.1300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
53,1.1133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
54,0.7833333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
55,1.1333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
56,1.1333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
57,1.0833333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
58,0.7333333333333334,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
59,0.7300000000000001,"[174.43680484352367, 152.76134028890698, 13.155619892576869, 40.0, 7.181553214623593, -8.095059090579568]"
60,0.7833333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
61,1.1133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
62,0.7366666666666668,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
63,0.7300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
64,0.7300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
65,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
66,0.7300000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
67,1.0833333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
68,1.133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
69,1.1333333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
70,1.0966666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
71,0.7500000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
72,1.0999999999999999,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
73,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
74,0.7266666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
75,1.1066666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
76,1.1033333333333335,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
77,0.7700000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
78,1.133333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
79,1.1400000000000001,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
80,1.1033333333333333,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
81,1.1166666666666667,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
82,1.12,"[174.43680484352367, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
83,1.0999999999999999,"[183.14023193691006, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
84,1.0833333333333333,"[183.14023193691006, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
85,1.0999999999999999,"[183.14023193691006, 138.25768090531164, 13.155619892576869, 32.583776605450346, 7.181553214623593, -8.095059090579568]"
86,0.7333333333333334,"[183.14023193691006, 133.01977922356136, 13.155619892576869, 30.510700794554573, 7.181553214623593, -8.095059090579568]"
87,1.0866666666666667,"[183.14023193691006, 133.01977922356136, 13.155619892576869, 30.510700794554573, 7.181553214623593, -8.095059090579568]"
88,0.7233333333333333,"[183.14023193691006, 133.01977922356136, 13.155619892576869, 30.510700794554573, 7.181553214623593, -8.095059090579568]"
89,0.7300000000000001,"[183.14023193691006, 133.01977922356136, 13.155619892576869, 30.510700794554573, 7.181553214623593, -8.095059090579568]"
90,1.0999999999999999,"[196.3631128510152, 133.01977922356136, 13.155619892576869, 30.510700794554573, 7.823867737968387, -8.095059090579568]"
91,1.12,"[175.4267123209096, 133.01977922356136, 13.155619892576869, 28.99904273270907, 7.181553214623593, -8.095059090579568]"
92,0.7600000000000001,"[175.4267123209096, 133.01977922356136, 13.155619892576869, 28.99904273270907, 7.181553214623593, -8.095059090579568]"
93,1.1133333333333333,"[175.4267123209096, 133.01977922356136, 13.155619892576869, 28.99904273270907, 7.181553214623593, -8.095059090579568]"
94,0.7733333333333334,"[175.4267123209096, 133.01977922356136, 13.155619892576869, 28.99904273270907, 7.181553214623593, -8.095059090579568]"
