Run,Gen,BestScore,Material,2x2 Structure,Mobility,Corners,Edges,Center
run0,1,0.0,87.1,3.7,29.0,2.0,-1.6,
run0,2,0.0,87.1,3.7,29.0,2.0,-1.6,
run0,3,0.0,98.9,7.4,13.0,6.0,-2.6,
run0,4,0.0,98.9,7.4,13.0,6.0,-2.6,
run0,5,0.0,89.9,11.2,15.9,8.8,2.0,
run0,6,0.0,89.9,11.2,15.9,8.8,2.0,
run0,7,0.9,96.2,1.9,29.2,9.9,-3.7,
run0,8,1.12,98.7,17.2,16.3,6.4,-0.5,
run0,9,1.09,90.7,5.2,19.3,4.9,5.0,
run0,10,1.07,91.7,14.5,25.3,2.4,-2.1,
run0,11,1.03,91.7,14.5,25.3,2.4,-2.1,
run0,12,1.06,126.0,2.5,24.2,3.7,0.3,
run0,13,1.01,91.7,14.5,25.3,2.4,11.0,
run0,14,1.01,91.7,14.5,25.3,2.4,-2.1,
run0,15,1.01,91.7,14.5,25.3,2.4,-2.1,
run1,1,1.1383333333333334,195.0,98.7,17.2,16.3,6.4,-4.592871283612453
run1,2,1.1883333333333337,195.0,98.7,17.2,16.3,1.0,-4.592871283612453
run1,3,1.1716666666666666,195.0,98.7,17.2,16.3,6.4,-4.592871283612453
run1,4,1.17,195.0,98.7,17.2,16.3,6.4,-4.592871283612453
run1,5,1.1483333333333334,195.0,98.7,29.41197312462146,16.3,8.603813335545675,-4.592871283612453
run1,6,1.106666666666667,195.0,98.7,17.2,16.3,8.603813335545675,-4.592871283612453
run1,7,1.1783333333333337,195.0,98.7,17.2,30.0,1.0,-4.592871283612453
run1,8,1.1016666666666666,195.0,98.7,17.2,16.3,8.603813335545675,-4.592871283612453
run1,9,1.1733333333333331,195.0,98.7,17.2,10.0,8.603813335545675,-4.592871283612453
run1,10,1.1266666666666667,195.0,104.93810598528057,17.2,16.3,15.0,-4.592871283612453
run1,11,1.1766666666666667,195.0,104.93810598528057,17.2,16.3,15.0,-4.592871283612453
run1,12,1.1683333333333332,195.0,104.93810598528057,17.2,16.3,15.0,-4.592871283612453
run1,13,1.16,198.9582520225027,104.93810598528057,17.2,16.3,15.0,-4.592871283612453
run1,14,1.1666666666666667,191.82643324809715,114.58008429115041,13.547032296750057,16.3,15.0,-4.592871283612453
run1,15,1.195,191.82643324809715,114.58008429115041,13.547032296750057,16.3,15.0,-4.592871283612453
run1,16,1.1766666666666663,195.0,116.0155586070261,13.547032296750057,16.3,15.0,-4.592871283612453
run1,17,1.1783333333333337,195.0,116.0155586070261,13.547032296750057,16.3,15.0,-4.592871283612453
run1,18,1.1883333333333332,195.0,123.83674639674145,13.547032296750057,18.615009250009862,15.0,-4.592871283612453
run1,19,1.195,195.0,123.83674639674145,13.547032296750057,18.615009250009862,15.0,-4.592871283612453
run1,20,1.1800000000000002,188.55363775124405,111.59204778705625,13.547032296750057,16.3,15.0,-10.0
run1,21,1.1783333333333337,188.55363775124405,111.59204778705625,13.547032296750057,16.3,15.0,-10.0
run1,22,1.1966666666666663,191.15930685661283,111.59204778705625,0.0,16.3,15.0,-2.2829499154408524
run1,23,1.1800000000000002,191.15930685661283,116.0155586070261,13.547032296750057,12.439494047111426,15.0,-10.0
run1,24,1.1766666666666667,191.15930685661283,116.0155586070261,13.547032296750057,12.439494047111426,15.0,-10.0
run1,25,1.2049999999999998,191.15930685661283,116.0155586070261,13.547032296750057,12.439494047111426,15.0,-10.0
run1,26,1.195,191.15930685661283,116.0155586070261,13.547032296750057,12.439494047111426,15.0,-10.0
run1,27,1.1866666666666668,191.15930685661283,116.0155586070261,13.547032296750057,12.439494047111426,15.0,-10.0
run1,28,1.1849999999999998,194.90466369984696,116.0155586070261,13.547032296750057,12.439494047111426,15.0,5.0
run1,29,1.1883333333333337,191.15930685661283,125.66955245581651,13.547032296750057,12.439494047111426,15.0,-10.0
run1,30,1.2066666666666666,191.15930685661283,124.66560541646093,13.547032296750057,12.439494047111426,9.6499624146635,-10.0
run1,31,1.2066666666666666,191.15930685661283,125.94560512158343,13.547032296750057,12.439494047111426,9.6499624146635,-10.0
run1,32,1.1916666666666669,191.15930685661283,121.45015982040537,13.547032296750057,12.439494047111426,9.1571156580876,-10.0
run1,33,1.1883333333333332,191.15930685661283,123.05272196643165,13.547032296750057,12.439494047111426,9.6499624146635,-10.0
run1,34,1.2,191.15930685661283,121.45015982040537,13.547032296750057,12.439494047111426,9.6499624146635,-10.0
run1,35,1.18,191.15930685661283,123.05272196643165,20.748584688860944,12.439494047111426,9.6499624146635,-10.0
run2,1,1.1216666666666668,191.16,124.67,13.55,12.44,9.65,-10.0
run2,2,0.8066666666666666,191.16,124.67,13.55,10.0,1.0,-10.0
run2,3,1.13,191.16,124.67,13.55,10.0,1.0,-10.0
run2,4,1.1216666666666668,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,5,1.17,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
run2,6,1.1216666666666668,191.16,124.67,20.019356076764655,17.505726242647796,5.461307415944216,-10.0
